participant_id,condition,model_name,model_id,perc_warmth_bipolar,perc_task_focus_bipolar,psych_safe_1,psych_safe_2,psych_safe_3,psychological_safety_mean,openness_1,openness_2_raw,self_reported_honesty_mean,engagement_self_report,ai_experience,years_work_experience,age,gender,industry,job_role,timestamp_submit
4581efc3-ded5-41fb-a2d9-2a117fef8b13,warm,GPT-4o Mini,gpt-4o-mini,3,4,5,5,5,5.0,6,2,5.5,5,2,1.9,24,Male,Technology,Graduate Assistant,
476e62e4-fabd-4fa9-aedd-87f7bdd83b8e,warm,GPT-4o,gpt-4o,2,5,6,6,5,5.67,6,2,5.5,5,6,2.0,31,Male,Non-profit,Junior Analyst,
493a4751-6411-414b-b7dd-2b6571d4e0b6,competent,GPT-4o,gpt-4o,3,6,6,6,5,5.67,6,2,5.5,6,7,4.7,30,Non-binary,Consulting,Junior Developer,
497faf08-04b0-4af8-bc76-884fbbde7f38,competent,Claude Haiku,claude-haiku-4-5-20251001,3,6,6,6,5,5.67,7,2,6.0,6,6,2.0,32,Male,Media/Entertainment,Coordinator,
4dd88f74-2fb5-471c-a913-6593118abcee,warm,Claude Haiku,claude-haiku-4-5-20251001,2,5,6,6,6,6.0,7,1,6.5,7,4,2.9,35,Non-binary,Non-profit,Graduate Assistant,
4df2aad7-14a0-40f6-ba69-00f498c139af,competent,Claude Haiku,claude-haiku-4-5-20251001,3,6,6,6,5,5.67,7,1,6.5,6,7,4.8,32,Female,Retail,Intern,
59d14ca7-0120-4247-a944-6697c7136c10,warm,GPT-4o,gpt-4o,3,6,6,6,5,5.67,6,2,5.5,6,7,4.8,20,Female,Technology,Graduate Assistant,
5a403a70-8251-430e-b28d-3c2c8fbc7423,competent,Claude Haiku,claude-haiku-4-5-20251001,4,6,5,5,4,4.67,6,2,5.5,6,7,3.8,26,Male,Consulting,Coordinator,
606a7e65-2cb0-4b04-a215-3bae801168ba,competent,GPT-4o,gpt-4o,4,6,6,6,5,5.67,7,2,6.0,6,6,3.2,19,Male,Technology,Junior Developer,
695054b6-572e-4641-bea6-16468e2e7e76,competent,Claude Haiku,claude-haiku-4-5-20251001,3,5,6,6,5,5.67,7,2,6.0,6,1,2.3,26,Female,Consulting,Entry-level Manager,
6ce1d48d-3733-4385-9280-92290e802847,competent,Claude Haiku,claude-haiku-4-5-20251001,4,6,5,5,4,4.67,6,2,5.5,6,2,0.7,32,Prefer not to say,Retail,Graduate Assistant,
6f9095b0-fa4c-4041-b0bc-2808e1fbde3e,competent,GPT-4o,gpt-4o,4,6,5,5,4,4.67,6,2,5.5,6,4,0.7,24,Female,Finance,Junior Developer,
771d35b1-240f-40fe-a2cb-f264ad8f8263,warm,Claude Haiku,claude-haiku-4-5-20251001,2,4,6,6,6,6.0,7,1,6.5,7,3,1.8,32,Female,Finance,Junior Analyst,
77b1d57d-5155-43bb-9e83-b5a5da206c9c,warm,GPT-4o Mini,gpt-4o-mini,2,4,5,4,5,4.67,6,3,5.0,5,5,3.1,27,Female,Finance,Junior Developer,
7a5a4660-e45d-4106-9f44-ec7746eee643,warm,GPT-4o Mini,gpt-4o-mini,3,5,5,6,5,5.33,6,3,5.0,4,7,3.9,23,Non-binary,Finance,Junior Analyst,
7b7f5587-5574-457a-b6fc-ab6bf5e3fde1,competent,GPT-4o,gpt-4o,2,6,6,6,5,5.67,6,2,5.5,5,6,0.9,28,Male,Finance,Coordinator,
7d7a3587-468a-4e5e-b56e-a46a8aa0d173,warm,GPT-4o Mini,gpt-4o-mini,3,4,6,5,6,5.67,6,2,5.5,5,4,4.2,19,Female,Government,Graduate Assistant,
8212b4d5-2585-435a-b26d-8715c2927f19,competent,GPT-4o,gpt-4o,2,6,6,6,5,5.67,6,2,5.5,6,4,2.2,19,Prefer not to say,Technology,Student,
86f937af-781c-4be9-aa11-1241cd046b5d,warm,Claude Haiku,claude-haiku-4-5-20251001,2,4,6,6,6,6.0,7,1,6.5,7,5,2.4,24,Non-binary,Consulting,Intern,
88247c90-f6e1-4819-8570-3af4f238b39e,competent,Claude Haiku,claude-haiku-4-5-20251001,5,6,5,5,4,4.67,6,2,5.5,5,2,4.2,23,Non-binary,Finance,Associate,
8e76fb9c-6454-4930-9350-26561719385b,competent,GPT-4o Mini,gpt-4o-mini,3,5,5,5,6,5.33,6,3,5.0,5,4,3.0,35,Non-binary,Consulting,Intern,
90805bae-71e9-4611-8034-b6dae400f92b,warm,GPT-4o,gpt-4o,3,6,6,6,5,5.67,6,2,5.5,5,1,1.1,27,Non-binary,Manufacturing,Intern,
91e98345-33dd-4155-a4e1-f538759f5343,warm,Claude Haiku,claude-haiku-4-5-20251001,2,4,6,6,6,6.0,7,1,6.5,7,1,1.1,19,Male,Consulting,Entry-level Manager,
92fd3634-4fe6-436d-a5eb-c6366eb27b97,warm,GPT-4o Mini,gpt-4o-mini,2,5,5,5,5,5.0,6,2,5.5,5,1,1.5,28,Female,Media/Entertainment,Entry-level Manager,
9ad12281-57b3-44dd-aff6-59a15e96d402,warm,GPT-4o,gpt-4o,2,4,5,5,5,5.0,6,3,5.0,6,5,0.6,27,Non-binary,Government,Junior Developer,
9bf0efae-d7c5-4535-b54b-7fb2c9d8392b,warm,GPT-4o,gpt-4o,3,6,6,6,5,5.67,6,2,5.5,5,3,2.2,20,Male,Finance,Student,
9cfac893-1e07-4a6a-b700-2cf89b9409f3,warm,GPT-4o Mini,gpt-4o-mini,2,6,5,4,5,4.67,6,3,5.0,5,4,4.4,32,Non-binary,Technology,Graduate Assistant,
a10b9267-8b57-45c0-a5ca-9b4947134311,competent,Claude Haiku,claude-haiku-4-5-20251001,3,6,6,6,5,5.67,7,1,6.5,6,7,2.0,22,Non-binary,Finance,Junior Developer,
a22082b7-aedc-4fb1-a593-1c072e70fb92,competent,Claude Haiku,claude-haiku-4-5-20251001,4,6,6,6,5,5.67,7,1,6.5,6,7,3.2,30,Male,Education,Coordinator,
b16b1c87-5ff0-4734-896f-12294b6922f2,competent,GPT-4o,gpt-4o,5,6,4,4,4,4.0,6,3,5.0,5,1,0.7,22,Male,Technology,Intern,
b1dfd1ac-a663-48c0-8319-71077dc125e6,competent,GPT-4o Mini,gpt-4o-mini,3,5,5,5,6,5.33,6,2,5.5,5,2,1.7,34,Female,Manufacturing,Associate,
b4a6f3eb-1bc7-4f6a-92e8-10c5260b5af9,competent,GPT-4o Mini,gpt-4o-mini,2,6,5,6,5,5.33,6,3,5.0,5,5,2.1,19,Male,Government,Junior Developer,
b8da1588-8e69-4428-a6fb-b3c45e363895,competent,GPT-4o Mini,gpt-4o-mini,3,5,5,5,4,4.67,6,2,5.5,5,4,3.7,23,Non-binary,Consulting,Entry-level Manager,
b94db764-ce43-4a5f-aa9f-bb294d58b1b8,competent,Claude Haiku,claude-haiku-4-5-20251001,3,6,6,6,5,5.67,6,2,5.5,6,1,2.4,33,Non-binary,Non-profit,Entry-level Manager,
bbc7b51d-6cd7-4cbf-a767-c02d27301ccc,warm,GPT-4o,gpt-4o,2,6,6,6,5,5.67,6,2,5.5,6,3,2.1,35,Prefer not to say,Healthcare,Entry-level Manager,
bbcd56cf-6829-42b4-97e0-cef2594718a5,warm,GPT-4o,gpt-4o,2,5,6,6,5,5.67,6,2,5.5,6,1,0.9,21,Male,Technology,Associate,
bc997db2-2943-41fb-8c5b-011c32b6719d,competent,GPT-4o,gpt-4o,4,6,5,5,4,4.67,6,2,5.5,5,6,2.9,22,Male,Media/Entertainment,Intern,
c204d28b-c373-4680-94b1-beebf5b08738,competent,GPT-4o Mini,gpt-4o-mini,3,5,5,4,4,4.33,6,2,5.5,5,7,4.7,25,Female,Finance,Intern,
ceb91454-f56b-4dc8-bbd5-c4d3a0895a96,warm,GPT-4o,gpt-4o,2,6,5,5,4,4.67,6,3,5.0,6,6,0.7,23,Prefer not to say,Healthcare,Coordinator,
cf664a34-77ed-419b-9c99-ba74684617a1,competent,GPT-4o Mini,gpt-4o-mini,3,5,5,4,5,4.67,6,2,5.5,6,2,3.8,32,Female,Media/Entertainment,Entry-level Manager,
d22de9e8-97ec-427f-b79c-7dc4e76c943c,warm,GPT-4o,gpt-4o,2,2,6,6,6,6.0,6,2,5.5,6,2,0.6,23,Non-binary,Non-profit,Junior Developer,
dfacc781-4134-407b-938b-f62e2cfa4af2,warm,GPT-4o Mini,gpt-4o-mini,2,4,5,5,5,5.0,6,2,5.5,6,2,3.6,28,Female,Technology,Graduate Assistant,
e5e756bd-07dc-4cbc-9cd6-a1d63f68729c,warm,GPT-4o Mini,gpt-4o-mini,2,6,5,5,4,4.67,6,2,5.5,4,4,4.7,27,Prefer not to say,Consulting,Intern,
e62debfa-0ade-4dba-a333-b71269022773,competent,GPT-4o Mini,gpt-4o-mini,3,4,5,5,4,4.67,6,2,5.5,5,6,3.9,33,Prefer not to say,Government,Associate,
e931d34d-3960-4c2d-b802-9dbb01182e04,competent,GPT-4o Mini,gpt-4o-mini,3,5,5,5,4,4.67,6,3,5.0,4,3,1.0,25,Non-binary,Consulting,Entry-level Manager,
f50e3b82-ad7a-437f-bff4-7e8027358095,warm,GPT-4o Mini,gpt-4o-mini,3,4,5,4,5,4.67,6,3,5.0,5,7,2.3,25,Male,Government,Student,
f60fbfc0-68c2-4914-bec6-b25b0cb80413,warm,GPT-4o,gpt-4o,2,6,6,6,5,5.67,6,2,5.5,6,7,1.1,30,Female,Consulting,Entry-level Manager,
f660793c-8ca9-4495-9a76-b2f432719b7d,competent,GPT-4o,gpt-4o,4,6,5,5,4,4.67,6,2,5.5,5,1,4.4,30,Female,Retail,Intern,
f8a3e313-8d6f-4ad3-a21b-b8d49e8e22b2,warm,GPT-4o Mini,gpt-4o-mini,2,5,6,5,6,5.67,6,2,5.5,5,3,3.6,23,Non-binary,Non-profit,Associate,
fb126af7-df43-4990-8d12-3d8b038f20d8,competent,GPT-4o,gpt-4o,4,6,6,6,5,5.67,6,2,5.5,5,2,0.8,32,Non-binary,Education,Junior Developer,
fc8b25ed-2fae-4538-a5eb-09ec7d1ea441,competent,GPT-4o Mini,gpt-4o-mini,3,5,5,5,4,4.67,6,2,5.5,6,1,4.5,27,Non-binary,Technology,Associate,
a8da78f2-eb97-4051-b06b-cdf98832af50,competent,Claude Sonnet,claude-sonnet-5,5,6,6,6,6,6.0,7,2,6.0,6,5,4.2,22,Prefer not to say,Consulting,Associate,2026-08-01T07:57:42.252922
dd1fa50c-b00c-4909-b1fe-c725b5ca52fb,warm,Claude Sonnet,claude-sonnet-5,3,5,6,6,6,6.0,6,2,5.5,6,7,3.5,30,Female,Consulting,Student,2026-08-01T07:58:31.137148
08df923c-f6ad-4a67-b140-31191e76ecbf,warm,Claude Sonnet,claude-sonnet-5,3,5,6,6,6,6.0,7,2,6.0,6,4,2.2,28,Male,Healthcare,Intern,2026-08-01T07:59:18.602148
4a64d890-66d7-40a0-8825-ee68de0eeadd,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,3,1.4,30,Female,Manufacturing,Coordinator,2026-08-01T08:00:06.162229
740ec931-3f3f-42f1-b789-e025cab6063e,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,4,1.2,21,Female,Non-profit,Junior Analyst,2026-08-01T08:00:52.691125
9331a10a-b704-48ee-a9ef-b9d396b51c26,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,5,1,1.5,27,Female,Manufacturing,Student,2026-08-01T08:01:43.460091
6b62c0ea-b4d9-4b27-937c-38400be8070f,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,6,5,1.4,29,Prefer not to say,Education,Intern,2026-08-01T08:02:32.188070
69337471-178a-4243-8c88-659efcdb90cc,warm,Claude Sonnet,claude-sonnet-5,3,5,6,6,6,6.0,7,2,6.0,6,6,4.5,29,Female,Government,Graduate Assistant,2026-08-01T08:03:24.825236
9b4ed84b-372a-45fb-b661-585e63465b3f,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,6,5,1.6,33,Female,Education,Junior Developer,2026-08-01T08:04:11.531805
6188dba6-e141-4a06-88bb-0a4f2f1268f2,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,2,2.1,27,Prefer not to say,Media/Entertainment,Graduate Assistant,2026-08-01T08:05:02.316150
f221d986-06aa-41c2-a0ff-14bacf5aede0,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,6,2,4.4,35,Prefer not to say,Consulting,Student,2026-08-01T08:05:51.774926
28e7d489-525c-4583-a1ec-5a1c5a664ecd,warm,Claude Sonnet,claude-sonnet-5,2,5,6,6,6,6.0,7,2,6.0,6,5,2.2,24,Prefer not to say,Media/Entertainment,Intern,2026-08-01T08:06:41.841685
175de2ee-3552-47f3-99da-1d64c6f09d71,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,1,3.6,33,Non-binary,Non-profit,Student,2026-08-01T08:07:28.948063
c5054450-cd99-4874-8e6e-fc5bf8aa6098,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,6,2,5.5,6,4,2.5,27,Non-binary,Consulting,Associate,2026-08-01T08:08:18.043780
b9ed4f42-01a5-439c-bdb5-2ecb57360699,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,6,1,2.8,19,Non-binary,Non-profit,Junior Developer,2026-08-01T08:09:06.540608
77363a90-5a25-494d-82f1-8883abf29002,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,5,5,3.9,28,Female,Finance,Coordinator,2026-08-01T08:09:53.644841
b108a460-7032-4727-b201-70549d97dcbe,warm,Claude Sonnet,claude-sonnet-5,2,5,6,6,6,6.0,7,1,6.5,6,1,2.7,35,Male,Media/Entertainment,Coordinator,2026-08-01T08:10:40.685906
88c03654-699e-4e8b-8b2c-f158cc70f72d,warm,Claude Sonnet,claude-sonnet-5,3,5,6,6,6,6.0,7,2,6.0,6,5,1.6,30,Non-binary,Healthcare,Student,2026-08-01T08:11:28.458545
bd18c757-f41a-4059-bcce-65bcf32be2e7,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,6,5,4.9,21,Male,Government,Intern,2026-08-01T08:12:16.492482
5aa69210-7d69-4d14-817a-b25330444eba,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,7,1.7,23,Female,Government,Junior Developer,2026-08-01T08:13:03.016212
47f1c0bc-7762-4abc-b790-3ceadad7dc57,competent,Claude Sonnet,claude-sonnet-5,5,6,6,6,6,6.0,7,2,6.0,6,4,3.7,32,Female,Non-profit,Junior Analyst,2026-08-01T08:13:54.378613
3ba7a6ab-0593-4b9d-86d7-98fe8b7b9899,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,2,1.0,30,Prefer not to say,Non-profit,Entry-level Manager,2026-08-01T08:14:42.903292
9c07cc08-dedd-4455-bfaa-315d4c154832,competent,Claude Sonnet,claude-sonnet-5,5,6,5,6,5,5.33,7,2,6.0,6,1,3.1,21,Non-binary,Technology,Junior Analyst,2026-08-01T08:15:30.335633
dd07ad4b-dd85-4a68-952d-a5fa4d90a9be,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,6,7,4.6,21,Male,Healthcare,Intern,2026-08-01T08:16:17.541680
c33a1f76-f781-4dec-b964-2067e3258b0e,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,6,4,1.8,29,Male,Non-profit,Junior Analyst,2026-08-01T08:17:03.001088
c2a84510-5dbd-4db5-bd79-236551396dff,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,5,4,1.6,25,Female,Media/Entertainment,Entry-level Manager,2026-08-01T08:17:49.603071
689c175c-0f91-47dd-bc22-ae886c18d49a,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,5,3,3.5,32,Female,Consulting,Intern,2026-08-01T08:18:37.007011
bc2d46ee-23b5-4fe1-87eb-2f72875d0dc5,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,6,3.5,32,Prefer not to say,Government,Student,2026-08-01T08:19:24.831240
d5292248-892a-4702-ac00-368d353be82f,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,1,4.1,22,Male,Retail,Coordinator,2026-08-01T08:20:20.028615
7d9568ad-e613-4692-9fc5-b9c509e15a44,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,6,2,1.1,26,Female,Healthcare,Entry-level Manager,2026-08-01T08:21:06.958373
38075e23-6dc1-4609-b02a-92fc906ac141,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,5,7,2.5,27,Prefer not to say,Healthcare,Intern,2026-08-01T08:21:57.090162
5423e2fb-057c-40d9-ba52-11382e22913b,competent,Claude Sonnet,claude-sonnet-5,4,6,5,5,5,5.0,6,2,5.5,6,7,4.9,22,Male,Non-profit,Student,2026-08-01T08:22:46.460862
573e8e2c-2a0d-44b5-b1f2-8544cbcd6602,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,5,7,2.7,26,Female,Retail,Entry-level Manager,2026-08-01T08:23:37.320122
022d21b6-a60a-4731-b3a3-db58e76b4f44,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,6,4,0.5,31,Male,Finance,Graduate Assistant,2026-08-01T08:24:24.427132
1051d0fe-62d7-41e1-96b6-e6a942f48dc3,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,6,3.6,27,Prefer not to say,Education,Graduate Assistant,2026-08-01T08:25:10.009823
22d61ac7-3735-46a7-8fc7-8a9b9ef1cb88,competent,Claude Sonnet,claude-sonnet-5,5,6,6,6,6,6.0,6,2,5.5,6,1,1.5,34,Female,Healthcare,Associate,2026-08-01T08:25:53.840849
18a6c8bc-8951-41fb-83c3-682ad8625059,competent,Claude Sonnet,claude-sonnet-5,5,6,6,6,6,6.0,7,2,6.0,6,5,3.1,20,Non-binary,Technology,Student,2026-08-01T08:26:39.946568
5b79dd77-8c09-47b8-9943-173b053810bb,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,1,4.3,35,Female,Technology,Intern,2026-08-01T08:27:24.999036
af7ab15a-642f-42ea-995b-528c062bc871,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,6,5,4.7,21,Female,Retail,Intern,2026-08-01T08:28:11.008340
655b6b51-c856-4bc3-9100-fdd65e609ace,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,6,5,2.4,26,Male,Media/Entertainment,Intern,2026-08-01T08:29:05.338864
a2658277-726b-4a2e-854d-9805873a2a62,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,1,6.5,6,3,3.5,35,Non-binary,Education,Junior Analyst,2026-08-01T08:29:52.501870
04593c06-a9d4-4ba9-9da2-ca88b17daa6a,competent,Claude Sonnet,claude-sonnet-5,5,6,5,5,5,5.0,6,2,5.5,5,3,3.5,26,Non-binary,Retail,Junior Developer,2026-08-01T08:30:39.980377
cc7e5082-d53a-4f0d-9614-d1b6ba25d53d,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,5,2.6,33,Non-binary,Consulting,Student,2026-08-01T08:31:26.039662
1893330e-8225-4f78-a343-9e264acc4a70,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,2,2.8,22,Male,Non-profit,Junior Analyst,2026-08-01T08:32:19.285616
bd3fce0a-ab4d-4b5c-af63-0024f291f1f1,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,4,1.8,30,Male,Healthcare,Coordinator,2026-08-01T08:33:07.004128
7d4ccdfa-9319-4133-a6f5-e8c1162bdea3,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,6,2,5.5,6,1,4.7,28,Male,Non-profit,Associate,2026-08-01T08:33:56.668978
b619ba2b-4bba-4421-abe5-49482715bd2c,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,2,3.8,23,Non-binary,Consulting,Intern,2026-08-01T08:34:45.714536
328cd24d-a0a1-4020-8def-30b7901d615b,warm,Claude Sonnet,claude-sonnet-5,2,4,6,6,6,6.0,7,2,6.0,6,2,3.7,27,Non-binary,Media/Entertainment,Junior Analyst,2026-08-01T08:35:36.105415
43c54b5f-f7bc-4b5d-b5e0-e42fd58f42d3,warm,Claude Sonnet,claude-sonnet-5,3,5,6,6,6,6.0,6,2,5.5,6,4,0.9,27,Prefer not to say,Education,Student,2026-08-01T08:36:22.695287
911bb25d-ef21-49e3-8044-70799cf0d2e0,competent,Claude Sonnet,claude-sonnet-5,4,6,5,5,5,5.0,6,2,5.5,5,6,4.0,27,Male,Technology,Coordinator,2026-08-01T08:37:10.821148
