"participant_id","condition","completed_task","number_user_turns","total_user_word_count","average_user_message_length","started_at","completed_at","dropout_stage","created_at"
"bbd4c004-6d9d-4722-a6f4-b1827f7d38ab","competent","True","3","16","5.33","2026-06-29T15:19:02.772652","2026-06-29T15:20:09.164438","","2026-06-29T15:19:02.782870"
"828c1297-e9c4-4c7b-92f7-a96261ec9c04","competent","True","3","10","3.33","2026-06-26T14:21:09.845772","2026-06-26T14:21:59.419372","","2026-06-26T14:21:09.846709"
"5090a7f4-3191-4758-93a8-d9b8f993246d","competent","","","","","2026-06-26T14:59:35.888854","","","2026-06-26T14:59:35.890189"
"62f99dab-6021-439a-a9ad-dba5f7030917","competent","","3","73","","2026-06-30T07:08:42.728346","","","2026-06-30T07:08:42.730104"
"8c009ff3-c17c-472d-8392-166893f81391","competent","","2","34","","2026-06-30T07:35:10.139974","","","2026-06-30T07:35:10.149943"
"54d67679-2b33-4a6c-ac1e-fbff2cfac61c","warm","True","3","27","9.0","2026-06-29T15:51:38.071119","2026-06-29T15:54:01.734420","","2026-06-29T15:51:38.080717"
"c9d18db3-e8b9-4eb6-bfba-33290959f24c","competent","","","","","2026-06-29T15:57:49.458087","","","2026-06-29T15:57:49.468115"
"b0b2bae4-1a8a-4488-9eb3-9e966a6d5b54","competent","","","","","2026-06-29T15:58:18.626323","","","2026-06-29T15:58:18.636759"
"e0ee2095-66a1-420c-beaa-c50ed094e1f6","competent","","3","7","","2026-06-29T15:33:39.420307","","","2026-06-29T15:33:39.420960"
"59cc7480-f265-42c4-a0dc-c20c5e0cd13d","warm","","","","","2026-06-29T15:36:11.736396","","","2026-06-29T15:36:11.760602"
"f4bde610-aabe-4cd1-b9f5-eb7250f46db4","competent","","","","","2026-06-29T15:58:23.146563","","","2026-06-29T15:58:23.157534"
"594ddf67-415d-4c77-b61f-dcf1f0787a04","competent","","","","","2026-06-29T16:18:42.363259","","","2026-06-29T16:18:42.375205"
"d5bdfd29-f3a4-4524-a596-8dea3dea43e8","competent","","3","38","","2026-06-30T06:57:38.558777","","","2026-06-30T06:57:38.561667"
"f6b89698-e1f1-4512-8c44-67d803a2d3ef","competent","","1","21","","2026-06-30T07:30:50.029315","","","2026-06-30T07:30:50.030069"
"e8f8bc79-ff3b-41e0-9f3c-f30913e3a33b","warm","","","","","2026-06-30T09:51:40.273218","","","2026-06-30T09:51:40.274142"
"753dbd45-9a45-4f11-9a21-121b3caeddfe","warm","True","3","43","14.33","2026-06-30T09:47:43.222567","2026-06-30T09:52:02.552963","","2026-06-30T09:47:43.223642"
"a777cb65-3f2a-4e29-a102-12d73f179487","warm","","","","","2026-06-30T10:05:07.977478","","","2026-06-30T10:05:07.977943"
"3c16e7ce-3111-4d0e-bc00-3d9a342d28ff","competent","","","","","2026-06-30T10:07:51.470723","","","2026-06-30T10:07:51.471610"
"8b349fa9-b749-4d0e-ae4a-9e26288cb6e7","competent","","","","","2026-06-30T10:09:33.029639","","","2026-06-30T10:09:33.031348"
"9c176e96-f997-4188-a603-1fc8b0771213","warm","","","","","2026-06-30T10:10:46.707557","","","2026-06-30T10:10:46.708071"
"7dfaf253-febc-472e-a508-02ec7e1f11f7","warm","","5","110","","2026-06-30T10:10:05.386581","","","2026-06-30T10:10:05.388082"
"8c0b617f-34f7-4244-8f52-854e12f9cbfd","warm","","1","132","","2026-06-30T10:14:57.376483","","","2026-06-30T10:14:57.377321"
"862feeb6-f763-4f85-9ce3-2c82638ad4ea","competent","True","3","112","37.33","2026-07-28T14:22:21.798450","2026-07-28T14:24:17.063258","","2026-07-28T14:22:21.798887"
"b4dd996e-3c86-40e6-a62a-f672f6702d96","warm","True","3","29","9.67","2026-06-30T10:17:13.344218","2026-06-30T10:19:23.722101","","2026-06-30T10:17:13.344681"
"18bc7cd2-4e93-4d60-af5f-2f1bd6387740","competent","","","","","2026-06-30T10:38:11.088553","","","2026-06-30T10:38:11.088969"
"19f579f0-1551-44d7-9248-778a3dfdc52f","warm","True","3","51","17.0","2026-06-30T10:44:04.965339","2026-06-30T10:47:08.867164","","2026-06-30T10:44:04.965773"
"b01fc5f2-37c0-492d-96f7-769e9b8d2654","warm","","","","","2026-06-30T11:34:15.049350","","","2026-06-30T11:34:15.049731"
"042d94eb-3157-4492-a141-080daeaa683b","warm","","","","","2026-06-30T12:07:08.528963","","","2026-06-30T12:07:08.530560"
"dbf6a66d-6450-4604-864b-3a8caa97729a","competent","True","4","72","18.0","2026-07-01T07:55:54.809701","2026-07-01T08:03:38.267485","","2026-07-01T07:55:54.810096"
"86f3c723-7d51-4fbb-b10c-3da681b91720","competent","True","3","70","23.33","2026-07-28T14:24:25.146493","2026-07-28T14:26:43.026107","","2026-07-28T14:24:25.146936"
"c7b79450-6e6e-4ddd-86ac-ed7acf6b67c5","warm","","5","157","","2026-06-30T12:14:38.408978","","","2026-06-30T12:14:38.409409"
"cc901a08-e088-4387-8339-fef45e793141","warm","","","","","2026-06-30T14:53:44.120286","","","2026-06-30T14:53:44.121017"
"d890fb02-ec22-499a-8b0e-adc82aab24f8","warm","True","3","52","17.33","2026-07-02T06:52:02.376783","2026-07-02T06:55:30.987080","","2026-07-02T06:52:02.377248"
"8b503172-ac80-4438-b77b-8fd8c608164a","warm","True","3","69","23.0","2026-07-28T14:27:18.010163","2026-07-28T14:30:09.735594","","2026-07-28T14:27:18.010584"
"75107c31-64c0-4d20-bf77-d0aa91f084ac","competent","","5","174","","2026-06-30T14:59:20.601349","","","2026-06-30T14:59:20.601801"
"bbe4c79f-1936-4937-8478-74e40a271ee1","warm","True","4","148","37.0","2026-07-28T14:18:41.113662","2026-07-28T14:22:09.336738","","2026-07-28T14:18:41.114912"
"d6938eca-8423-48d9-9ccd-ebcb9f0264a0","warm","True","3","87","29.0","2026-06-30T19:02:48.760768","2026-06-30T19:09:47.647305","","2026-06-30T19:02:48.761274"
